"hashtag_variant","card_id","title_mi","title_en","lang","lang_name","caption","char_count","hashtags","image_bilingual","image_lang","course_url","fits_x_280","fits_bluesky_300","fits_mastodon"
"per_card","raupatu","Raupatu — He raupatu tonu","Raupatu — It is still raupatu","mi","Te Reo Māori","Ehara te raupatu i ngā rā o mua. Kua hangaia matihikotia.
He raupatu tonu tēnei — kāore he whakaaetanga, kāore he whakahokinga.

Akoranga kore utu → kiwidialectic.com
#Raupatu #TeManaRaraunga","191","#Raupatu #TeManaRaraunga","https://te-pa.org/social-kit/campaign-raupatu.png","https://te-pa.org/social-kit/campaign-raupatu-mi.png","https://kiwidialectic.com","yes","yes","yes"
"per_card","raupatu","Raupatu — He raupatu tonu","Raupatu — It is still raupatu","en","English","Ehara te raupatu i ngā rā o mua. Kua hangaia matihikotia.
Raupatu is not history. It became digital.

Akoranga kore utu → kiwidialectic.com
#Raupatu #TeManaRaraunga","164","#Raupatu #TeManaRaraunga","https://te-pa.org/social-kit/campaign-raupatu.png","https://te-pa.org/social-kit/campaign-raupatu-en.png","https://kiwidialectic.com","yes","yes","yes"
"per_card","raupatu","Raupatu — He raupatu tonu","Raupatu — It is still raupatu","pt","Português","Ehara te raupatu i ngā rā o mua. Kua hangaia matihikotia.
A confiscação não é história. Tornou-se digital.

Curso gratuito → kiwidialectic.com
#Raupatu #SoberaniaDeDados","169","#Raupatu #SoberaniaDeDados","https://te-pa.org/social-kit/campaign-raupatu.png","https://te-pa.org/social-kit/campaign-raupatu-pt.png","https://kiwidialectic.com","yes","yes","yes"
"per_card","raupatu","Raupatu — He raupatu tonu","Raupatu — It is still raupatu","gn","Avañe’ẽ (Guaraní)","Ehara te raupatu i ngā rā o mua. Kua hangaia matihikotia.
Pe ñemboyke ndaha’éi tembiasakue. Oñembohasa dihitálpe.

Mbo’esyry reigua → kiwidialectic.com
#Raupatu #TeManaRaraunga","176","#Raupatu #TeManaRaraunga","https://te-pa.org/social-kit/campaign-raupatu.png","https://te-pa.org/social-kit/campaign-raupatu-gn.png","https://kiwidialectic.com","yes","yes","yes"
"per_card","raupatu","Raupatu — He raupatu tonu","Raupatu — It is still raupatu","sm","Gagana Sāmoa","Ehara te raupatu i ngā rā o mua. Kua hangaia matihikotia.
O le aveeseina e lē o se talafaasolopito. Ua avea ma mea fa‘atekonolosi.

A‘oa‘oga e leai se totogi → kiwidialectic.com
#Raupatu #TeManaRaraunga","202","#Raupatu #TeManaRaraunga","https://te-pa.org/social-kit/campaign-raupatu.png","https://te-pa.org/social-kit/campaign-raupatu-sm.png","https://kiwidialectic.com","yes","yes","yes"
"per_card","3-questions","He aha ōu pātai?","3 Questions","mi","Te Reo Māori","E toru ngā pātai i mua i tō ‘whakaae’:
1. Nā wai ēnei raraunga?
2. Mō wai te painga?
3. Mā wai e whakatau?

Akoranga kore utu → kiwidialectic.com
#HeAhaŌuPātai","159","#HeAhaŌuPātai","https://te-pa.org/social-kit/campaign-3-questions.png","https://te-pa.org/social-kit/campaign-3-questions-mi.png","https://kiwidialectic.com","yes","yes","yes"
"per_card","3-questions","He aha ōu pātai?","3 Questions","en","English","E toru ngā pātai i mua i tō ‘whakaae’:
1. Nā wai? 2. Mō wai te painga? 3. Mā wai e whakatau?

Before you click ‘accept’, ask: whose, who profits, who decides.

Akoranga kore utu → kiwidialectic.com
#HeAhaŌuPātai","211","#HeAhaŌuPātai","https://te-pa.org/social-kit/campaign-3-questions.png","https://te-pa.org/social-kit/campaign-3-questions-en.png","https://kiwidialectic.com","yes","yes","yes"
"per_card","3-questions","He aha ōu pātai?","3 Questions","pt","Português","E toru ngā pātai i mua i tō ‘whakaae’:
1. Nā wai? 2. Mō wai te painga? 3. Mā wai e whakatau?

Antes de aceitar, pergunte: de quem, quem lucra, quem decide.

Curso gratuito → kiwidialectic.com
#HeAhaŌuPātai","205","#HeAhaŌuPātai","https://te-pa.org/social-kit/campaign-3-questions.png","https://te-pa.org/social-kit/campaign-3-questions-pt.png","https://kiwidialectic.com","yes","yes","yes"
"per_card","3-questions","He aha ōu pātai?","3 Questions","gn","Avañe’ẽ (Guaraní)","E toru ngā pātai i mua i tō ‘whakaae’:
1. Nā wai? 2. Mō wai te painga? 3. Mā wai e whakatau?

Eporandu raẽ: mávapa, máva oñemoirũ, máva odesidi.

Mbo’esyry reigua → kiwidialectic.com
#HeAhaŌuPātai","196","#HeAhaŌuPātai","https://te-pa.org/social-kit/campaign-3-questions.png","https://te-pa.org/social-kit/campaign-3-questions-gn.png","https://kiwidialectic.com","yes","yes","yes"
"per_card","3-questions","He aha ōu pātai?","3 Questions","sm","Gagana Sāmoa","E toru ngā pātai i mua i tō ‘whakaae’:
1. Nā wai? 2. Mō wai te painga? 3. Mā wai e whakatau?

A‘o le e te taliaina: a ai, a ai e maua le tupe, a ai e filifili.

A‘oa‘oga e leai se totogi → kiwidialectic.com
#HeAhaŌuPātai","220","#HeAhaŌuPātai","https://te-pa.org/social-kit/campaign-3-questions.png","https://te-pa.org/social-kit/campaign-3-questions-sm.png","https://kiwidialectic.com","yes","yes","yes"
